SBI08_5,Omschrijving
46462,"46462: Groothandel in medische en tandheelkundige instrumenten, verpleeg- en orthopedische artikelen en laboratoriumbeno"
46471,46471: Groothandel in huismeubilair
46472,46472: Groothandel in woningtextiel en vloerbedekking
46473,46473: Groothandel in verlichtingsartikelen
4648,4648: Groothandel in juweliersartikelen en uurwerken
46491,46491: Groothandel in fietsen en bromfietsen
46492,46492: Groothandel in watersportartikelen
46493,46493: Groothandel in kampeerartikelen (geen caravans)
46494,46494: Groothandel in speelgoed
46495,46495: Groothandel in muziekinstrumenten
46496,46496: Groothandel in sportartikelen (geen watersport)
46497,46497: Groothandel in papier- en kartonwaren (geen verpakkingsmateriaal)
46498,"46498: Groothandel in boeken, tijdschriften en overig drukwerk"
46499,"46499: Groothandel in overige consumentenartikelen (rest, non-food)"
4651,"4651: Groothandel in computers, randapparatuur en software"
4652,4652: Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen
4661,"4661: Groothandel in landbouwmachines, werktuigen en tractoren"
4662,4662: Groothandel in gereedschapswerktuigen
4663,4663: Groothandel in machines voor de bouw
4664,4664: Groothandel in machines voor de textielindustrie en in naai- en breimachines
4665,4665: Groothandel in bedrijfsmeubels
4666,4666: Groothandel in kantoormachines (geen computers)
46681,46681: Groothandel in machines voor de grafische industrie
46682,46682: Groothandel in machines voor de voedings- en genotmiddelenindustrie
46691,46691: Groothandel in intern transportmaterieel
46692,"46692: Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek"
46693,"46693: Groothandel in verbrandingsmotoren, pompen en compressoren"
46694,"46694: Groothandel in appendages, technische toebehoren e.d."
46695,46695: Groothandel in meet- en regelapparaten
46696,46696: Groothandel in emballage
46697,46697: Groothandel in scheepsbenodigdheden en visserij-artikelen
46699,"46699: Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest)"
46711,46711: Groothandel in vaste brandstoffen
46712,46712: Groothandel in vloeibare en gasvormige brandstoffen
46713,46713: Groothandel in minerale olieproducten (geen brandstoffen)
46721,46721: Groothandel in metaalertsen
46722,46722: Groothandel in ferrometalen en -halffabrikaten
46723,46723: Groothandel in non-ferrometalen en -halffabrikaten
46731,46731: Groothandel in hout en plaatmateriaal
46732,46732: Groothandel in verf en verfwaren
46733,46733: Groothandel in behang
46734,46734: Groothandel in vlakglas
46735,46735: Groothandel in zand en grind
46736,46736: Groothandel in tegels en plavuizen
46737,46737: Groothandel in sanitaire artikelen en sanitair installatiemateriaal
46738,46738: Groothandel gespecialiseerd in overige bouwmaterialen
46739,46739: Groothandel in bouwmaterialen algemeen assortiment
46741,46741: Groothandel in ijzer- en metaalwaren
46742,46742: Groothandel in verwarmingsapparaten
46751,46751: Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing
46752,46752: Groothandel in bestrijdingsmiddelen en meststoffen
46761,46761: Groothandel in textielgrondstoffen en -halffabrikaten
46762,46762: Groothandel in papier en karton
46769,46769: Groothandel in overige intermediaire producten (rest)
46771,46771: Groothandel in autosloopmateriaal
46772,46772: Groothandel in ijzer- en staalschroot en oude non-ferrometalen
46779,46779: Groothandel in overige oude materialen en afvalstoffen
46901,46901: Niet-gespecialiseerde groothandel in consumentenartikelen
46902,46902: Niet-gespecialiseerde groothandel in niet-consumentenartikelen
4711,4711: Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen
47191,47191: Warenhuizen
47192,47192: Winkels met een algemeen assortiment non-food (geen warenhuizen)
4721,"4721: Winkels in aardappelen, groenten en fruit"
47221,47221: Winkels in vlees en vleeswaren
47222,47222: Winkels in wild en gevogelte
4723,4723: Winkels in vis
47241,47241: Winkels in brood en banket
47242,47242: Winkels in chocolade en suikerwerk
4725,4725: Winkels in dranken
4726,4726: Winkels in tabaksproducten
47291,47291: Winkels in kaas
47292,47292: Winkels in natuurvoeding en reformartikelen
47293,47293: Winkels in buitenlandse voedingsmiddelen
47299,47299: Gespecialiseerde winkels in overige voedings- en genotmiddelen (rest)
4730,4730: Benzinestations
4741,"4741: Winkels in computers, randapparatuur en software"
4742,4742: Winkels in telecommunicatieapparatuur
47431,47431: Winkels in audio- en videoapparatuur
47432,47432: Winkels in een algemeen assortiment van wit- en bruingoed
47511,47511: Winkels in kledingstoffen
47512,47512: Winkels in huishoudtextiel
47513,"47513: Winkels in breiwol, handwerken en fournituren"
47521,47521: Winkels in ijzerwaren en gereedschappen
47522,"47522: Winkels in verf, verfwaren en behang"
47523,47523: Winkels in houten bouw- en tuinmaterialen
47524,47524: Winkels in tegels
47525,47525: Winkels in keukens
47526,"47526: Winkels in parket-, laminaat- en kurkvloeren"
47527,47527: Winkels gespecialiseerd in overige doe-het-zelfartikelen
47528,47528: Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment
4753,4753: Winkels in vloerbedekking en gordijnen
47541,47541: Winkels in witgoed
47542,47542: Winkels in naai- en breimachines
47543,47543: Winkels in overige elektrische huishoudelijke apparatuur
47544,47544: Winkels in onderdelen voor elektrische huishoudelijke apparatuur
47591,47591: Winkels in meubels
47592,47592: Winkels in verlichtingsartikelen
47593,47593: Winkels in artikelen voor woninginrichting algemeen assortiment
47594,47594: Winkels in muziekinstrumenten
47595,"47595: Winkels in glas-, porselein- en aardewerk"
47596,47596: Winkels gespecialiseerd in overige huishoudelijke artikelen (rest)
47597,47597: Winkels in huishoudelijke artikelen algemeen assortiment
4761,4761: Winkels in boeken
4762,"4762: Winkels in kranten, tijdschriften en kantoorbehoeften"
4763,4763: Winkels in audio- en video-opnamen
47641,47641: Winkels in fietsen en bromfietsen
47642,47642: Winkels in watersportartikelen
47643,47643: Winkels in sportartikelen (geen watersport)
47644,47644: Winkels in kampeerartikelen (geen caravans)
4765,4765: Winkels in speelgoed
47711,47711: Winkels in herenkleding
47712,47712: Winkels in dameskleding
47713,47713: Winkels in bovenkleding en mode-artikelen (algemeen assortiment)
47714,47714: Winkels in baby- en kinderkleding
47715,47715: Winkels in babyartikelen algemeen assortiment
47716,"47716: Winkels in onderkleding, foundations e.d."
47717,47717: Winkels in mode-artikelen
47718,47718: Textielsupermarkten
47721,47721: Winkels in schoenen
47722,47722: Winkels in lederwaren en reisartikelen
4773,4773: Apotheken
47741,47741: Winkels in drogisterij-artikelen
47742,47742: Winkels in medische en orthopedische artikelen
4775,4775: Winkels in parfums en cosmetica
47761,"47761: Winkels in bloemen en planten, zaden en tuinbenodigdheden"
47762,47762: Tuincentra
47763,"47763: Winkels in dieren, dierbenodigdheden en hengelsportartikelen"
4777,4777: Winkels in juweliersartikelen en uurwerken
47781,47781: Winkels in fotografische artikelen
47782,47782: Winkels in optische artikelen
47783,"47783: Winkels in schilderijen, lijsten, prenten, kunstvoorwerpen en religieuze artikelen"
47789,47789: Winkels gespecialiseerd in overige artikelen (rest)
47791,47791: Winkels in antiek
47792,47792: Winkels in tweedehands kleding
47793,47793: Winkels in tweedehands goederen (geen kleding)
47811,"47811: Markthandel in aardappelen, groenten en fruit"
47819,47819: Markthandel in overige voedings- en genotmiddelen
4782,"4782: Markthandel in textiel, kleding en schoenen"
47891,"47891: Markthandel in bloemen, planten, zaden en tuinbenodigdheden"
47892,47892: Markthandel in tweedehands goederen
47899,47899: Markthandel in overige goederen
47911,47911: Detailhandel via internet in voedingsmiddelen en drogisterijwaren
47912,47912: Detailhandel via internet in consumentenelektronica
47913,"47913: Detailhandel via internet in boeken, tijdschriften, cd's, dvd's"
47914,47914: Detailhandel via internet in kleding en mode-artikelen
47915,47915: Detailhandel via internet in huis- en tuinartikelen
47916,47916: Detailhandel via internet in vrijetijdsartikelen
47918,47918: Detailhandel via internet in overige non-food
47919,47919: Detailhandel via internet in algemeen assortiment non-food
47991,47991: Colportage
47992,47992: Straathandel
47999,47999: Detailhandel via overige distributievormen
4910,4910: Personenvervoer per spoor (geen tram of metro)
4920,4920: Goederenvervoer per spoor
4931,4931: Openbaar vervoer binnen steden
4932,4932: Vervoer per taxi
49391,49391: Ongeregeld besloten busvervoer
49392,"49392: Streekvervoer per bus, tram en metro"
49393,49393: Geregeld besloten busvervoer
4941,4941: Goederenvervoer over de weg (geen verhuizingen)
4942,4942: Verhuisvervoer
4950,4950: Transport via pijpleidingen
5010,5010: Zee- en kustvaart (passagiersvaart en veerdiensten)
50201,50201: Zee- en kustvaart (vracht- en tankvaart; geen sleepvaart)
50202,50202: Zee- en kustsleepvaart
5030,5030: Binnenvaart (passagiersvaart en veerdiensten)
50401,50401: Binnenvaart (vrachtvaart)
50402,50402: Binnenvaart (tankvaart)
50403,50403: Binnenvaart (sleep- en duwvaart)
5110,5110: Personenvervoer door de lucht
5121,5121: Goederenvervoer door de lucht
52101,52101: Opslag in tanks
52102,52102: Opslag in koelhuizen e.d.
52109,"52109: Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)"
5221,5221: Dienstverlening voor vervoer over land
5222,5222: Dienstverlening voor vervoer over water
5223,5223: Dienstverlening voor de luchtvaart
52241,"52241: Laad-, los- en overslagactiviteiten voor zeevaart"
52242,"52242: Laad-, los- en overslagactiviteiten niet voor zeevaart"
52291,"52291: Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer"
52292,52292: Weging en meting
5310,5310: Nationale post met universele dienstverplichting
53201,53201: Post zonder universele dienstverplichting
53202,53202: Koeriers
55101,55101: Hotel-restaurants
55102,"55102: Hotels (geen hotel-restaurants), pensions en conferentie-oorden"
55201,55201: Verhuur van vakantiehuisjes en appartementen
55202,"55202: Jeugdherbergen, vakantiekampen en groepsaccommodaties"
5530,5530: Kampeerterreinen
5590,5590: Overige logiesverstrekking
56101,56101: Restaurants
56102,"56102: Cafetaria's, lunchrooms, snackbars, ijssalons, eetkramen e.d."
5621,5621: Eventcatering
5629,5629: Kantines en contractcatering
5630,5630: Cafés
5811,5811: Uitgeverijen van boeken
5812,5812: Databanken
5813,5813: Uitgeverijen van kranten
5814,5814: Uitgeverijen van tijdschriften
5819,5819: Overige uitgeverijen (niet van software)
5821,5821: Uitgeverijen van computerspellen
5829,5829: Overige uitgeverijen van software
59111,59111: Productie van films (geen televisiefilms)
59112,59112: Productie van televisieprogramma's
5912,5912: Facilitaire activiteiten voor film- en televisieproductie
5913,5913: Distributie van films en televisieproducties
5914,5914: Bioscopen
5920,5920: Maken en uitgeven van geluidsopnamen
6010,6010: Radio-omroepen
6020,6020: Televisie-omroepen
6110,6110: Draadgebonden telecommunicatie
6120,6120: Draadloze telecommunicatie
6130,6130: Telecommunicatie via satelliet
6190,6190: Overige telecommunicatie
6201,"6201: Ontwikkelen, produceren en uitgeven van software"
6202,6202: Advisering op het gebied van informatietechnologie
6203,6203: Beheer van computerfaciliteiten
6209,6209: Overige dienstverlenende activiteiten op het gebied van informatietechnologie
6311,"6311: Gegevensverwerking, webhosting en aanverwante activiteiten"
6312,6312: Webportals
6391,6391: Persagentschappen
6399,6399: Overige dienstverlenende activiteiten op het gebied van informatie (rest)
6411,6411: Centrale banken
64191,64191: Coöperatief georganiseerde banken
64192,64192: Effectenkredietinstellingen
64193,64193: Spaarbanken
64194,64194: Algemene banken
6420,6420: Financiële holdings
64301,64301: Beleggingsinstellingen in financiële activa
64302,64302: Beleggingsinstellingen in vaste activa
64303,64303: Beleggingsinstellingen met beperkte toetreding
6491,6491: Financiële lease
64921,64921: Hypotheekbanken en bouwfondsen
64922,64922: Volkskredietbanken en commerciële financieringsmaatschappijen
64923,64923: Participatiemaatschappijen
64924,64924: Wisselmakelaars en overige kredietverstrekking
6499,6499: Overige financiële intermediatie
65111,65111: Levensverzekeringen (geen herverzekering)
65112,65112: Naturaverzekeringen
65113,65113: Spaarkassen
65121,65121: Schadeverzek. (geen zorg)
65122,65122: Zorgverzekeringen
6520,6520: Herverzekering
65301,65301: Bedrijfstakpensioenfondsen
65302,65302: Ondernemingspensioenfondsen en -spaarfondsen
65303,65303: Beroepspensioenfondsen
65309,65309: Overige pensioenfondsen
6611,6611: Beheer van financiële markten
6612,"6612: Commissionairs en makelaars in effecten, beleggingsadviseurs e.d."
66191,66191: Administratiekantoren voor aandelen en obligaties
66192,66192: Marketmakers
66193,"66193: Hypotheek- en kredietbemiddeling, geldwisselkantoren, bank- en spaaragentschappen e.d."
6621,6621: Risicoanalisten en schadetaxateurs
6622,6622: Assurantietussenpersonen
66291,66291: Verzekeringsbeurzen
66292,66292: Actuariële en pensioenadviesbureaus; beheer en administratie van pensioenvermogens
66293,66293: Waarborgfondsen
66299,66299: Overige dienstverlening op het gebied van verzekeringen en pensioenfondsen (rest)
6630,6630: Vermogensbeheer
6810,6810: Handel in eigen onroerend goed
68201,68201: Woningbouwverenigingen en -stichtingen
68202,68202: Gemeentelijke woningbedrijven
68203,68203: Verhuur van overige woonruimte
68204,68204: Verhuur van onroerend goed (niet van woonruimte)
6831,"6831: Bemiddeling bij handel, huur of verhuur van onroerend goed"
6832,6832: Beheer van onroerend goed
69101,"69101: Advocatenkantoren, bewindvoerders en curatoren"
69102,69102: Rechtskundige adviesbureaus
69103,69103: Notariskantoren
69104,69104: Deurwaarderskantoren
69105,69105: Octrooibureaus
69201,69201: Registeraccountants
69202,69202: Accountants-administratieconsulenten
69203,69203: Boekhoudkantoren
69204,69204: Belastingconsulenten
69209,69209: Overige administratiekantoren
70101,70101: Concerndiensten binnen eigen concern
70102,70102: Holdings (geen financiële)
7021,7021: Public relationsbureaus
70221,70221: Organisatie-adviesbureaus
70222,70222: Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatie- adviesbureaus)
71111,71111: Architecten (geen interieurarchitecten)
71112,71112: Interieurarchitecten
7112,7112: Ingenieurs en overig technisch ontwerp en advies
71201,71201: Keuring en controle van agrarische producten en voedingsmiddelen
71202,"71202: Keuring en controle van machines, apparaten en materialen"
71203,71203: Overige keuring en controle
72111,72111: Biotechnologisch speur- en ontwikkelingswerk (agra. prod.)
72112,72112: Biotechnologisch speur- en ontwikkelingswerk (med. prod.)
72113,72113: Biotechnologisch speur- en ontwikkelingswerk voor overige toepassingen
72191,72191: Speur- en ontwikkelingswerk op het gebied van landbouw en visserij (niet biotechnologisch)
72192,72192: Technisch speur- en ontwikkelingswerk
72193,72193: Speur- en ontwikkelingswerk op het gebied van gezondheid en voeding (niet biotechnologisch)
72199,72199: Overig natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch)
7220,7220: Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen
7311,7311: Reclamebureaus
7312,7312: Handel in advertentieruimte en -tijd
7320,7320: Markt- en opinieonderzoekbureaus
74101,74101: Communicatie- en grafisch ontwerp
74102,74102: Industrieel en productontwerp
74103,74103: Interieur- en ruimtelijk ontwerp
74201,74201: Fotografie
74202,74202: Ontwikkelwinkels
74203,74203: Ontwikkelcentrales
7430,7430: Vertalers en tolken
7490,7490: Overige specialistische zakelijke dienstverlening
7500,7500: Veterinaire dienstverlening
77111,77111: Verhuur van personenauto's en lichte bedrijfsautoÆs (geen operational lease)
77112,77112: Operational lease van personenauto's en lichte bedrijfsauto's
7712,"7712: Verhuur en lease van vrachtwagens, autobussen, caravans en aanhangwagens"
7721,7721: Verhuur van sport- en recreatieartikelen
7722,7722: Videotheken
77291,77291: Verhuur van leesportefeuilles
77292,77292: Verhuur van kleding en huishoudelijke artikelen
77299,77299: Verhuur van overige consumentenartikelen (rest)
7731,7731: Verhuur en lease van landbouwmachines en -werktuigen
7732,7732: Verhuur en lease van machines en installaties voor de bouw
7733,7733: Verhuur en lease van computers en kantoorapparatuur
7734,7734: Verhuur en lease van schepen
7735,7735: Verhuur en lease van vliegtuigen
77391,77391: Verhuur van automaten
77399,77399: Verhuur en lease van overige machines en werktuigen en van overige goederen (geen automaten)
7740,7740: Lease van niet-financiële immateriële activa
7810,7810: Arbeidsbemiddeling
78201,78201: Uitzendbureaus
78202,78202: Uitleenbureaus
78203,78203: Banenpools (werkgelegenheidsprojecten)
7830,7830: Payrolling (personeelsbeheer)
7911,7911: Reisbemiddeling
7912,7912: Reisorganisatie
7990,7990: Informatieverstrekking op het gebied van toerisme en reserveringsbureaus
8010,8010: Particuliere beveiliging
8020,8020: Beveiliging via beveiligingssystemen
8030,8030: Opsporing
8110,8110: Facility management
8121,8121: Interieurreiniging van gebouwen
81221,81221: Glazenwassen
81222,81222: Schoorsteenvegen
81229,81229: Overige gespecialiseerde reiniging
8129,8129: Overige reiniging
8130,8130: Landschapsverzorging
8211,8211: Brede administratieve dienstverlening
8219,8219: Secretariële dienstverlening
8220,8220: Callcenters
8230,8230: Organiseren van congressen en beurzen
8291,8291: Kredietinformatie- en incassobureaus
8292,"8292: Pakken, sorteren e.d. in loon"
82991,"82991: Veilingen van landbouw-, tuinbouw- en visserijproducten"
82992,"82992: Veilingen van huisraad, kunst, antiek, machines e.d. roerende goederen"
82999,82999: Overige zakelijke dienstverlening (rest)
8411,8411: Algemeen overheidsbestuur
8412,"8412: Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)"
8413,8413: Openbaar bestuur op het gebied van het bedrijfsleven
8421,8421: Buitenlandse zaken
8422,8422: Defensie
84231,84231: Rechtspraak
84232,84232: Ministerie van Justitie en gevangeniswezen
8424,8424: Politie
8425,8425: Brandweer
8430,8430: Verplichte sociale verzekeringen
85201,85201: Basisonderwijs voor leerplichtigen
85202,85202: Speciaal basisonderwijs
85203,85203: Speciaal onderwijs in expertisecentra
85311,85311: Havo en vwo
85312,85312: Voorbereidend middelbaar beroepsonderwijs
85313,85313: Praktijkonderwijs
85314,85314: Brede scholengemeenschappen voor voortgezet onderwijs
85321,85321: Middelbaar beroepsonderwijs
85322,85322: Educatie
85323,85323: Middelbaar beroepsonderwijs en educatie (gecombineerd)
8541,8541: Niet-universitair hoger onderwijs
8542,8542: Universitair hoger onderwijs
85511,85511: Zeil- en surfscholen
85519,85519: Overig sport- en recreatieonderwijs
85521,85521: Dansscholen
85522,85522: Kunstzinnige vorming van amateurs (geen dansscholen)
8553,8553: Auto- en motorrijscholen
85591,85591: Afstandsonderwijs
85592,85592: Bedrijfsopleiding en -training
85599,"85599: Studiebegeleiding, vorming en onderwijs (rest)"
8560,8560: Dienstverlening voor het onderwijs
86101,86101: Universitair medische centra
86102,86102: Algemene ziekenhuizen
86103,86103: Categorale ziekenhuizen
86104,86104: Geestelijke gezondheids- en verslavingszorg met overnachting
8621,8621: Praktijken van huisartsen
86221,86221: Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie)
86222,86222: Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg
86231,86231: Praktijken van tandartsen
86232,86232: Praktijken van tandheelkundig specialisten
86911,86911: Praktijken van verloskundigen
86912,86912: Praktijken van fysiotherapeuten
86913,"86913: Praktijken van psychotherapeuten, psychologen en pedagogen"
86919,86919: Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers
86921,86921: Gezondheidscentra
86922,86922: Arbobegeleiding en reïntegratie
86923,86923: Preventieve gezondheidszorg (geen arbobegeleiding)
86924,"86924: Medische laboratoria, trombosediensten en overig behandelingsondersteunend onderzoek"
86925,86925: Ambulancediensten en centrale posten
86929,86929: Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten
8710,8710: Verpleeghuizen
8720,8720: Huizen en dagverblijven voor verstandelijk gehandicapten en psychiatrische cliënten
87301,87301: Huizen en dagverblijven voor niet-verstandelijk gehandicapten
87302,87302: Verzorgingshuizen
87901,87901: Jeugdzorg met overnachting en dagverblijven voor jeugdzorg
87902,87902: Maatschappelijk opvang met overnachting
88101,88101: Thuiszorg
88102,88102: Welzijnswerk voor ouderen
88103,88103: Ondersteuning en begeleiding van gehandicapten
8891,8891: Kinderopvang
88991,88991: Ambulante jeugdzorg
88992,88992: Maatschappelijk werk
88993,88993: Lokaal welzijnswerk
88999,"88999: Overig maatschappelijk advies, gemeenschapshuizen en samenwerkingsorganen op het gebied van welzijn"
90011,90011: Beoefening van podiumkunst
90012,90012: Producenten van podiumkunst
90013,90013: Circus en variété
9002,9002: Dienstverlening voor uitvoerende kunst
9003,9003: Schrijven en overige scheppende kunst
90041,90041: Theaters en schouwburgen
90042,90042: Evenementenhallen
91011,91011: Openbare bibliotheken
91012,91012: Kunstuitleencentra
91019,91019: Overige culturele uitleencentra en openbare archieven
91021,91021: Musea
91022,91022: Kunstgalerieën en -expositieruimten
9103,9103: Monumentenzorg
91041,"91041: Dieren- en plantentuinen, kinderboerderijen"
91042,91042: Natuurbehoud
92001,92001: Loterijen en kansspelen (geen amusementsautomaten)
92009,92009: Exploitatie van amusements- en speelautomaten
93111,93111: Zwembaden
93112,"93112: Sporthallen, sportzalen en gymzalen"
93113,93113: Sportvelden
93119,93119: Overige sportaccommodaties
93121,93121: Veldvoetbal
93122,93122: Veldsport in teamverband (geen voetbal)
93123,93123: Atletiek
93124,93124: Tennis
93125,93125: Paardensport en maneges
93126,93126: Wielersport
93127,93127: Auto- en motorsport
93128,93128: Wintersport
93129,93129: Overige buitensport
9313,9313: Fitnesscentra
93141,93141: Individuele zaalsport
93142,93142: Zaalsport in teamverband
93143,93143: Kracht- en vechtsport
93144,"93144: Bowlen, kegelen, biljarten e.d."
93145,93145: Denksport
93146,93146: Sportscholen
93149,93149: Overige binnensport en omnisport
93151,93151: Zwem- en onderwatersport
93152,"93152: Roei-, kano-, zeil- en surfsport e.d."
93191,93191: Beroepssportlieden
93192,93192: Hengelsport
93193,93193: Verzorgen van vistochten
93194,93194: Supportersverenigingen (sport)
93195,93195: Organiseren van sportevenementen
93196,93196: Overkoepelende organen en samenwerkings- en adviesorganen op het gebied van sport
93199,93199: Overige sportactiviteiten (rest)
93211,93211: Pret- en themaparken
93212,93212: Kermisattracties
93291,93291: Jachthavens
93299,"93299: Overige recreatie (rest, geen jachthavens)"
9411,9411: Bedrijfs- en werkgeversorganisaties
9412,9412: Beroepsorganisaties
9420,9420: Werknemersorganisaties
94911,94911: Religieuze organisaties
94919,94919: Overige levensbeschouwelijke organisaties
9492,9492: Politieke organisaties
94991,94991: Gezelligheidsverenigingen
94992,94992: Hobbyclubs
94993,94993: Steunfondsen (niet op het gebied van welzijnszorg)
94994,"94994: Vriendenkringen op het gebied van cultuur, fanclubs en overige kunstbevordering"
94995,"94995: Overkoepelende organen en samenwerkings- en adviesorganen (niet op het gebied van gezondheids- en welzijnszorg, s"
94996,94996: Overige ideële organisaties (rest)
94997,94997: Overige belangenbehartiging (rest)
9511,9511: Reparatie van computers en randapparatuur
9512,9512: Reparatie van communicatieapparatuur
9521,9521: Reparatie van consumentenelektronica (geen computers)
9522,9522: Reparatie van elektrische huishoudelijke apparaten
9523,9523: Reparatie van schoenen en lederwaren
9524,9524: Reparatie en stoffering van meubels
9525,9525: Reparatie van uurwerken en juweliersartikelen
9529,9529: Reparatie van overige consumentenartikelen
96011,96011: Wasserijen en linnenverhuur
96012,96012: Chemische wasserijen en ververijen
96013,96013: Wassalons en -verzendinrichtingen
96021,96021: Haarverzorging
96022,"96022: Schoonheidsverzorging, pedicures en manicures, visagie en image consulting"
96031,96031: Uitvaartverzorging
96032,"96032: Crematoria, mortuaria en begraafplaatsen"
9604,"9604: Sauna's, solaria, baden e.d."
9609,9609: Overige dienstverlening (rest)
9700,9700: Huishoudens als werkgever van huishoudelijk personeel
9810,9810: Niet-gespecificeerde productie van goederen door particuliere huishoudens voor eigen gebruik
9820,9820: Niet-gespecificeerde productie van diensten door particuliere huishoudens voor eigen gebruik
9900,9900: Extraterritoriale organisaties en lichamen.
